sample_index,conversation_id,customer_message,intent,expected_action,risk_level,sampling_group,reference_resolution,conversation_context,notes,dataset_heuristic_intent,dataset_heuristic_action,audit_status,reviewer_rationale_notes
108,conv_2378254,founder of Amazon will kindly intervene to refund the amount paid by me for the mob one plus 5 on 27/10/17 from Amazon. I have exhausted my patience and no one is helping in amazon despite my best follow up by mails and calls.,CANCELLATION_REQUEST,AUTO,LOW,common_support,Sorry to know about the delay with the refund. Please understand we can't gain access to your account via Twitter. Kindly share your details as requested here: [LINK] so that we can gain access to your account and check the refund issue.,4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,CANCELLATION_REQUEST,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for CANCELLATION_REQUEST; baseline expected action: AUTO.
109,conv_2588269,I was supposed to receive my items Friday and they still haven't shipped,WRONG_ITEM_RECEIVED,AUTO,MEDIUM,common_support,"When using the link from ^AY, what was the estimated delivery date? Also, was it fulfilled by Amazon or a seller?",3-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,WRONG_ITEM_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (WRONG_ITEM_RECEIVED); self-service return/troubleshooting link is safe baseline.
110,conv_2628897,I have purchased a TV from your site and today sudden receive a cancellation mail because of pricing issue??5days spend now ur cs team ask cancellation due to wring pricing this is fraud case that u mentioned a wrong price my order no 402-5464344-9005130,UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,CRITICAL,high_risk,"We apologize for the unforeseen cancellation. I will share your comments internally to ensure there are no such misses in the future. Please don't provide your order details, we consider it to be personal information. Our page is visible to the public.",4-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,PENDING_HUMAN_REVIEW,High-risk unauthorized activity or fraud claim detected. Mandatory human escalation (CRITICAL risk).
111,conv_2061594,"Hey, How is it that Google can strip my 2-step verification after a change of phone # in 15 minutes, but I am on day 2 of waiting for you to do the same even after I gave you the info you requested?",ACCOUNT_ACCESS_SECURITY,ESCALATE,HIGH,high_risk,"Hi, Zach! To clarify, were you attempting to disable Two-Step verification or update settings with the new contact number? We're here to help in any way we can!",9-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,ACCOUNT_ACCESS_SECURITY,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (ACCOUNT_ACCESS_SECURITY); strict escalation policy enforces human handoff.
112,conv_2377191,I love how Amazon says that a delivery was attempted when no delivery was attempted.,DELIVERY_DELAY,AUTO,LOW,common_support,I'm sorry for the frustration! Carriers will typically attempt to redeliver on the next business day. Please let us know if it doesn't come by tomorrow!,2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DELIVERY_DELAY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DELIVERY_DELAY; eligible for automated guidance with link precedent.
113,conv_1124096,"I forgot to mention gst number for a recent purchase, can i get a new bill with updated gst please. How to get one???",OTHER,ESCALATE,MEDIUM,ambiguous,Kindly connect with our team here: [LINK] and we'll have it checked,3-turn Twitter exchange,Stratified sample for ambiguous category; baseline expected action: ESCALATE,OTHER,ESCALATE,PENDING_HUMAN_REVIEW,"Ambiguous, truncated, or out-of-domain message lacking sufficient context for safe self-service; requires human routing."
114,conv_101751,"amazonIN Order id-4__credit_card__. Order date-4th oct 2017. Payment already done. But till today, haven't received my order. Wrote 2 separate mails also, but not proper reply from your side. Highly disappointed. Is this the way u treat your customers?? [LINK]",PAYMENT_AND_BILLING_ISSUE,ESCALATE,HIGH,high_risk,We would like to help you. Please share your details with us here: [LINK] We'll get in touch shortly. Please don't provide your order details as we consider it personal information. Our twitter page is visible to public.,2-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,PAYMENT_AND_BILLING_ISSUE,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (PAYMENT_AND_BILLING_ISSUE); strict escalation policy enforces human handoff.
115,conv_879161,need help. Order id 405-5957767-6911522,CANCELLATION_REQUEST,AUTO,LOW,common_support,We don't have access to your Amazon order info via Twitter. Kindly connect with us here: [LINK] (1/2),7-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,CANCELLATION_REQUEST,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for CANCELLATION_REQUEST; baseline expected action: AUTO.
116,conv_1676602,have been charged for annual Prime membership!! Did not sign up for this...how do I get a refund?,PRIME_MEMBERSHIP_INQUIRY,AUTO,LOW,common_support,"I'm sorry, Susan! Please use this link to cancel the membership and receive any eligible refund: [LINK]",4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PRIME_MEMBERSHIP_INQUIRY,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for PRIME_MEMBERSHIP_INQUIRY; baseline expected action: AUTO.
117,conv_42573,"Trying to cancel an order on but the website and app page come up blank when I hit ""cancel order""",CANCELLATION_REQUEST,AUTO,LOW,common_support,"Oh no! We can help you with this, Annie! Just give us a quick call or chat here so we can assist: [LINK]",2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,CANCELLATION_REQUEST,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for CANCELLATION_REQUEST; baseline expected action: AUTO.
118,conv_294347,tracking number 962119647 . Been following up since past one week . No one called and no delivery . order .,ORDER_TRACKING_STATUS,AUTO,LOW,common_support,Apologies for the hassle. Please contact us here: [LINK] and we'll help you with this. (1/2),3-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,ORDER_TRACKING_STATUS,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for ORDER_TRACKING_STATUS; eligible for automated guidance with link precedent.
119,conv_448760,"I keep getting a message saying payment revision needed, card keeps declining. I already checked to make sure everything i put in was correct and i still get the message, HELP!",PAYMENT_AND_BILLING_ISSUE,ESCALATE,HIGH,high_risk,I'm sorry for the trouble with your payment. Have you tried deleting your card from the account and adding it once more: [LINK] I also recommend contacting your bank for more details.,4-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,PAYMENT_AND_BILLING_ISSUE,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (PAYMENT_AND_BILLING_ISSUE); strict escalation policy enforces human handoff.
120,conv_1666208,"Order not received Order# 402-8236444-9314749 Status:Delivered yesterday Courier: Delhivery, Tracking #: 5180792515113",PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,MEDIUM,common_support,We understand you are yet to receive your order. I'm sorry the tracking status was marked as delivered and you have not yet received the product. Let me investigate this further and help assist. Kindly fill in your details here [LINK] (1/2),3-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (PACKAGE_DELIVERED_NOT_RECEIVED); self-service return/troubleshooting link is safe baseline.
121,conv_967186,what's ur action if is cheating. 708793777382 this item is not delivered. But it is marked as delivered.,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,MEDIUM,common_support,"Sorry to know you haven't received the refund. I'd like to take a closer look into this, please share your details 1/3",4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (PACKAGE_DELIVERED_NOT_RECEIVED); self-service return/troubleshooting link is safe baseline.
122,conv_851614,that has not happened with my order for a product which I placed for my email id is __email__,WRONG_ITEM_RECEIVED,AUTO,MEDIUM,common_support,"Well, that's strange, Rahul. Have you tried reporting this to our support team here: [LINK] ?",4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,WRONG_ITEM_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (WRONG_ITEM_RECEIVED); self-service return/troubleshooting link is safe baseline.
123,conv_346055,facing problem since last month. Yesterday I ordered and chossed payment option COD. MY ORDER GET CANCELLED BY AMAZON. .,PAYMENT_AND_BILLING_ISSUE,ESCALATE,HIGH,high_risk,A canceled order is followed by an email explaining the reason for cancellation. More info: [LINK],5-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,PAYMENT_AND_BILLING_ISSUE,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (PAYMENT_AND_BILLING_ISSUE); strict escalation policy enforces human handoff.
124,conv_363987,ok i got an email saying payment declined but the money has left my account what is the truth,PAYMENT_AND_BILLING_ISSUE,ESCALATE,HIGH,high_risk,I'm sorry for the trouble with the order! What site did you use to order? Was it [LINK] .co.uk or another?,2-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,PAYMENT_AND_BILLING_ISSUE,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (PAYMENT_AND_BILLING_ISSUE); strict escalation policy enforces human handoff.
125,conv_548018,"That ""attempted"" delivery email I just got was clearly a lie. I have been in my apartment pretty much all day and there was never a knock on the door. Furthermore, the notice of attempted delivery is not in my mail box. Im quite annoyed",PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,MEDIUM,common_support,"Thank you for contacting us, Becky! I am sorry this delivery attempt was unsuccessful. We are here to help! Just to clarify, could you confirm the carrier for delivery as shown here in your orders: [LINK]",4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (PACKAGE_DELIVERED_NOT_RECEIVED); self-service return/troubleshooting link is safe baseline.
126,conv_1044208,"-405-0228637-4384323 this has been FedEx since 10 days, they said wrong address, when my friend went collect no",PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,MEDIUM,common_support,Please don’t provide your details as we consider them to be personal information. Our Twitter page is public. ^SA 2/2,4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (PACKAGE_DELIVERED_NOT_RECEIVED); self-service return/troubleshooting link is safe baseline.
127,conv_2358919,"When you order a ""cutlery"" tray but sends you a pillow thing instead, and the item isn't eligible for return? [LINK]",RETURN_EXCHANGE_INQUIRY,AUTO,LOW,rare_intent,"Oh goodness! I'm sorry that the wrong item was sent. Let's look into available options together! When you have a moment, please reach us here: [LINK]",2-turn Twitter exchange,Stratified sample for rare_intent category; baseline expected action: AUTO,RETURN_EXCHANGE_INQUIRY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for RETURN_EXCHANGE_INQUIRY; eligible for automated guidance with link precedent.
128,conv_2969439,so you just let people steal from their customers on your site and do nothing ? You just lost a customer .,UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,CRITICAL,high_risk,"I'm terribly sorry for the poor experience! We'd like to help. Without revealing order or account specific information, could you tell us more about the issue at hand?",11-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (UNAUTHORIZED_TRANSACTION_FRAUD); strict escalation policy enforces human handoff.
129,conv_1037046,hola existe app para Sony Bravia Amazon Prime video?,DIGITAL_SERVICES_AND_DEVICE,AUTO,LOW,common_support,"Hola, Bernice. Actualmente estos son los dispositivos compatibles: [LINK]",2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DIGITAL_SERVICES_AND_DEVICE,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DIGITAL_SERVICES_AND_DEVICE; eligible for automated guidance with link precedent.
130,conv_2953654,. whoever does your deliveries in my block of flats is terrible. It is just dumped at the front entrance or left somewhere. At least 3 flats excluding myself have had packages gone missing. #terribleservice #fixit,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,MEDIUM,common_support,"Hello Michelle, we're very sorry that this is happening. We would like to help! Have we been able to assist in locating or providing assistance with the order that you have not received?",3-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (PACKAGE_DELIVERED_NOT_RECEIVED); self-service return/troubleshooting link is safe baseline.
131,conv_390008,Hi Amazon my account has been closed without reason please help . There is no proper response from __email__,ACCOUNT_ACCESS_SECURITY,ESCALATE,HIGH,high_risk,"We're following up on your concern, here: [LINK]",2-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,ACCOUNT_ACCESS_SECURITY,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (ACCOUNT_ACCESS_SECURITY); strict escalation policy enforces human handoff.
132,conv_529063,"I am highly disappointed with Amazons service, my order# 404-4688706-1243534 was supposed to be delivered by yesterday as a gift to a friend and yet not delivered. Your customer support has been of no help in tracking my. Disappointed!",ORDER_TRACKING_STATUS,AUTO,LOW,common_support,"Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. 2/2",3-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,ORDER_TRACKING_STATUS,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for ORDER_TRACKING_STATUS; eligible for automated guidance with link precedent.
133,conv_2318143,Is feels like we are getting fooled by purchasing item during offers. Bought one item during offer. Product was defective so opt for replacement but it didn't happened so you refund the amount by subtracting the offer value and that too in Amazon pay. Simply fooling us. [LINK],DAMAGED_OR_DEFECTIVE_ITEM,AUTO,MEDIUM,common_support,"I understand your concern. We’d like to help you. Please fill this form: [LINK] and we’ll contact you soon. Please don't provide your order details, we consider it to be personal information. Our page is visible to the public.",5-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DAMAGED_OR_DEFECTIVE_ITEM,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (DAMAGED_OR_DEFECTIVE_ITEM); self-service return/troubleshooting link is safe baseline.
134,conv_173525,Amazon Japan has not charged me for Misfire yet. Am concerned I'm not going to get it. :\,PAYMENT_AND_BILLING_ISSUE,ESCALATE,HIGH,high_risk,"Hi, Are you worried about something? We do not have access to your account details over Twitter. Kindly reach out to us at: [LINK] TY",2-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,PAYMENT_AND_BILLING_ISSUE,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (PAYMENT_AND_BILLING_ISSUE); strict escalation policy enforces human handoff.
135,conv_679886,My order is expected to arrive tomorrow. Plz deliver it asap or by today evening. It's urgent. Please help.,ORDER_TRACKING_STATUS,AUTO,LOW,common_support,"I understand the urgency of your request, Sushil. However, our products are shipped on time so they can reach you by the estimated delivery date. Request you to please wait. Appreciate your patience.",4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,ORDER_TRACKING_STATUS,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for ORDER_TRACKING_STATUS; eligible for automated guidance with link precedent.
136,conv_703042,"amazon pay cashback not received mailed my issue no response yet , waiting for 20 days",REFUND_NOT_RECEIVED,AUTO,MEDIUM,common_support,"I'm sorry for the inconvenience, Raman. We'd like to help you with this, you may call or chat with us here: [LINK] .",2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,REFUND_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for REFUND_NOT_RECEIVED; baseline expected action: AUTO.
137,conv_472391,"Had to wait ages to get through to manager for this so called Prime service. Their customer service is just like their 'prime'. Slow, unreliable and unhelpful! Really bad service with prime",DELIVERY_DELAY,AUTO,LOW,common_support,Sorry to hear this - did we confirm the order status ?,4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DELIVERY_DELAY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DELIVERY_DELAY; eligible for automated guidance with link precedent.
138,conv_1651679,"I have received a message that my order has been delivered yesterday, but have still not received the product I ordered.",WRONG_ITEM_RECEIVED,AUTO,MEDIUM,common_support,Sorry for the hassle Pratik. Please report this to our support team here: [LINK] and we'll check this.,2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,WRONG_ITEM_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (WRONG_ITEM_RECEIVED); self-service return/troubleshooting link is safe baseline.
139,conv_2187370,Bought a book on and it has been shipped from Atlanta to Illinois to Pennsylvania. Delivery date to DC might be never.,ORDER_TRACKING_STATUS,AUTO,LOW,common_support,"Hi, Jacob! Pls let us know if it doesn't arrive by the date given via checkout/e-mail. We're happy to help any way we can.",4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,ORDER_TRACKING_STATUS,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for ORDER_TRACKING_STATUS; eligible for automated guidance with link precedent.
140,conv_382595,how long does it take to issue a refund? I've been waiting since the 3rd to get a refund,REFUND_NOT_RECEIVED,AUTO,MEDIUM,common_support,Refunds can take a maximum of 5-7 business days. Did you receive a confirmation email when it was requested?,6-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,REFUND_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for REFUND_NOT_RECEIVED; baseline expected action: AUTO.
141,conv_2483967,got items deliverers today. However the pyjamas have not been delivered as stated. Please advise [LINK],GENERAL_INQUIRY_FEEDBACK,AUTO,LOW,rare_intent,"I am so sorry your pajamas have not arrived yet! There is nothing like a new set of pajamas! See if this answers your question [LINK] If not, let us know, we are here to help!",9-turn Twitter exchange,Stratified sample for rare_intent category; baseline expected action: AUTO,GENERAL_INQUIRY_FEEDBACK,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for GENERAL_INQUIRY_FEEDBACK; baseline expected action: AUTO.
142,conv_260829,". I guess it was some new definition of ""delivering today"" that I wasn't previously aware of.",GENERAL_INQUIRY_FEEDBACK,AUTO,LOW,rare_intent,"Hello there! We're here to help! W/o posting personal account information, tell us more about how we can assist today.",8-turn Twitter exchange,Stratified sample for rare_intent category; baseline expected action: AUTO,GENERAL_INQUIRY_FEEDBACK,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for GENERAL_INQUIRY_FEEDBACK; baseline expected action: AUTO.
143,conv_474345,Now a days has a new technic of selling goods. Once sold will be never taken back No matter of your several return request. [LINK],RETURN_EXCHANGE_INQUIRY,AUTO,LOW,rare_intent,"into it. Also, don’t provide your order details as its personal information. Our Twitter page is visible to public. 2/2",3-turn Twitter exchange,Stratified sample for rare_intent category; baseline expected action: AUTO,RETURN_EXCHANGE_INQUIRY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for RETURN_EXCHANGE_INQUIRY; eligible for automated guidance with link precedent.
144,conv_57421,#HearUsAmazon Fed up with garbage returns / No Track on our returns [LINK],ORDER_TRACKING_STATUS,AUTO,LOW,common_support,Sorry about the trouble with the returns. Please connect with us here: [LINK] and we'll get this checked.,4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,ORDER_TRACKING_STATUS,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for ORDER_TRACKING_STATUS; eligible for automated guidance with link precedent.
145,conv_2483756,I'm trying to link my Amazon prime with twitch to enable Twitch Prime but it wont work I've tried multiple times [LINK],DIGITAL_SERVICES_AND_DEVICE,AUTO,LOW,common_support,Quick question. Is the Amazon account you're linking an invitee or part of a household?,4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DIGITAL_SERVICES_AND_DEVICE,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DIGITAL_SERVICES_AND_DEVICE; eligible for automated guidance with link precedent.
146,conv_1585043,D whole day my family was at home jst waitin for d package. EOD a msg is send by Amazon dt no1 was @ home - 4__credit_card__,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,MEDIUM,common_support,We apologize for the inaccurate tracking information. We'd like to help you. Please contact us here: [LINK],3-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,PACKAGE_DELIVERED_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (PACKAGE_DELIVERED_NOT_RECEIVED); self-service return/troubleshooting link is safe baseline.
147,conv_1442664,"thank you for playing smart, delevering COD on priority &amp; enjoying the Surplus of adavanced payment &amp; delivering late.",GENERAL_INQUIRY_FEEDBACK,AUTO,LOW,common_support,"That's quite a remark! Delivery estimates are calculated depending on various factors like location it is being shipped to, 1/n",3-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DELIVERY_DELAY,AUTO,PENDING_HUMAN_REVIEW,Customer expression of praise/compliment misclassified by keyword matching as DELIVERY_DELAY; proposed as GENERAL_INQUIRY_FEEDBACK (safe auto-handling). | Standard self-service support inquiry for DELIVERY_DELAY; eligible for automated guidance with link precedent.
148,conv_740430,Errm wait so what am I getting ? Not looking like it's going to be what I ordered.... [LINK],WRONG_ITEM_RECEIVED,AUTO,MEDIUM,common_support,Hi Liam. Just to confirm you ordered : [LINK] correct?,7-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,WRONG_ITEM_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (WRONG_ITEM_RECEIVED); self-service return/troubleshooting link is safe baseline.
149,conv_270641,please have some start checking your DCs and carriers(ontrac). Poor packaging. You could easily grab the contents and bad handling. [LINK],DAMAGED_OR_DEFECTIVE_ITEM,AUTO,MEDIUM,common_support,I'm so sorry for trouble! We'd love to take your packaging feedback here: [LINK] Is your order okay?,4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DAMAGED_OR_DEFECTIVE_ITEM,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (DAMAGED_OR_DEFECTIVE_ITEM); self-service return/troubleshooting link is safe baseline.
150,conv_354023,on a single #android tab can't I log into #PrimeVideo and #Kindle with two different IDs?,DIGITAL_SERVICES_AND_DEVICE,AUTO,LOW,common_support,You'll be able to use 2 different account for both the apps.,6-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DIGITAL_SERVICES_AND_DEVICE,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DIGITAL_SERVICES_AND_DEVICE; eligible for automated guidance with link precedent.
151,conv_127448,"- love ordering from you guys and I shop all the time but stop using Intellcom Courier. The deliveries never get here on time (like the one due here now), they are unprofessional and the last guy showed up with a cigarette hanging out of his face. Seriously. #amazon",GENERAL_INQUIRY_FEEDBACK,AUTO,LOW,rare_intent,I'm so sorry for the poor experience you've had with your deliveries. We'd like to speak with you about this and see what we can do. Please reach out to us via phone or chat here: [LINK],2-turn Twitter exchange,Stratified sample for rare_intent category; baseline expected action: AUTO,GENERAL_INQUIRY_FEEDBACK,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for GENERAL_INQUIRY_FEEDBACK; baseline expected action: AUTO.
152,conv_2911715,Not real happy and . My stuff not here and now wont be here til friday. So much for two day delivery. #amazon #ups,GENERAL_INQUIRY_FEEDBACK,AUTO,LOW,rare_intent,I'm so sorry for the delay! Please keep us posted when your package arrives! We want to make sure you get it!,2-turn Twitter exchange,Stratified sample for rare_intent category; baseline expected action: AUTO,GENERAL_INQUIRY_FEEDBACK,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for GENERAL_INQUIRY_FEEDBACK; baseline expected action: AUTO.
153,conv_2178016,"The contents is the new Akira hardcover book boxset, the packing is totally inadequate, the contents is being damaged because of it.",DAMAGED_OR_DEFECTIVE_ITEM,AUTO,MEDIUM,common_support,I'm so sorry to see this! Were any of the items in this package damaged upon arrival?,5-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DAMAGED_OR_DEFECTIVE_ITEM,AUTO,PENDING_HUMAN_REVIEW,Standard order exception (DAMAGED_OR_DEFECTIVE_ITEM); self-service return/troubleshooting link is safe baseline.
154,conv_2734334,"I do wonder why I pay for Prime when they can't deliver an item when they say, not the first time it has happened either.",DELIVERY_DELAY,AUTO,LOW,common_support,I am sorry if we missed the mark in processing your order. Rest assured that is not at all the experience we want you to have. What was the expected delivery date provided to you by email when the item was dispatched?,3-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DELIVERY_DELAY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DELIVERY_DELAY; eligible for automated guidance with link precedent.
155,conv_2440745,"12 items 12 orders this month have not arrived on time and some haven't arrived at all. Their customer service isn't helping at all. This is only getting worse, and it's now giving me severe anxiety. Having to call up every day is exhausting! :(",DELIVERY_DELAY,AUTO,LOW,common_support,I'm so sorry about the delayed packages and the poor customer experience! We are happy to assist you with this. Have you noticed this happening with a certain courier?,6-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DELIVERY_DELAY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DELIVERY_DELAY; eligible for automated guidance with link precedent.
156,conv_423202,"Waybill No : 57990878562, All FAKE updates... when am i getting my shipment delivered?????????????????????????",ORDER_TRACKING_STATUS,AUTO,LOW,common_support,"Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​",2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,ORDER_TRACKING_STATUS,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for ORDER_TRACKING_STATUS; eligible for automated guidance with link precedent.
157,conv_2592167,the verification codes you send me are invalid so I can't sign in.,ACCOUNT_ACCESS_SECURITY,ESCALATE,HIGH,high_risk,I apologize for the inconvenience! We don't have access to your account via Twitter. Please click on the link here so we can better assist you: [LINK],2-turn Twitter exchange,Stratified sample for high_risk category; baseline expected action: ESCALATE,ACCOUNT_ACCESS_SECURITY,ESCALATE,PENDING_HUMAN_REVIEW,Regulated financial/security inquiry (ACCOUNT_ACCESS_SECURITY); strict escalation policy enforces human handoff.
158,conv_1271639,Dear am I wrong in asking refund for this? #nokiascam #scamdeal #amazonscam #NewsAlert #news #harassment [LINK],UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,MEDIUM,common_support,"I'm extremely sorry about this experience, Shariq. This is certainly not what we intended. Please report this to our support team here: [LINK] and we'll look into this.",16-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,REFUND_NOT_RECEIVED,AUTO,PENDING_HUMAN_REVIEW,High-risk unauthorized activity or fraud claim detected. Mandatory human escalation (CRITICAL risk).
159,conv_346252,I'm glad the last 2 packages I've ordered with Amazon Prime have either gotten lost or been delayed. What's the point of having Prime,DELIVERY_DELAY,AUTO,LOW,common_support,I'm sorry to see this! Will you tell us who the carrier is for your two orders? You can look here: [LINK],2-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,DELIVERY_DELAY,AUTO,PENDING_HUMAN_REVIEW,Standard self-service support inquiry for DELIVERY_DELAY; eligible for automated guidance with link precedent.
160,conv_1586741,Just to cancel it or wait :/,CANCELLATION_REQUEST,AUTO,LOW,common_support,Were you given any other options?,4-turn Twitter exchange,Stratified sample for common_support category; baseline expected action: AUTO,CANCELLATION_REQUEST,AUTO,PENDING_HUMAN_REVIEW,Standard inquiry for CANCELLATION_REQUEST; baseline expected action: AUTO.
161,conv_152144,"all the promo prices were incorrect in my shopping cart,what's up w/that? U need to credit me the difference,this is BS. What kind of scam are you running?#blackfriday",UNAUTHORIZED_TRANSACTION_FRAUD,ESCALATE,LOW,rare_intent,"We're unable to access accounts on Twitter, but we're happy to look into available options here: [LINK]",3-turn Twitter exchange,Stratified sample for rare_intent category; baseline expected action: AUTO,GENERAL_INQUIRY_FEEDBACK,AUTO,PENDING_HUMAN_REVIEW,High-risk unauthorized activity or fraud claim detected. Mandatory human escalation (CRITICAL risk).
